City_ID,Action_Name,Action_ID,Start Date (Date),End Date (Date),Costs (Number),Scope (String),Measure (Label),Short Description (Text)
Beijing,2008 Olympic Lines Opening,A0047,2008/01,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Three new urban metro lines with 30 additional stations costing 3.2 billion dollars opened for the 2008 Olympics including Line 10 at 25 kilometers plus the Olympic spur and Capital Airport Express. The expansion significantly enhanced public transport capacity.
Beijing,2010 Suburban Lines Expansion,A0048,2010/12,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Five suburban metro lines opened including Lines 15 Changping Fangshan Yizhuang and Daxing adding 108 kilometers of track representing a nearly 50 percent increase. This expansion made Beijing's subway the fourth longest metro system globally at that time.
Beijing,Metro Network 2011-2012 Growth,A0049,2011/12,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Major metro expansions occurred with Line 8 extension to Huilongguan Line 9 opening from Beijing West railway station and Line 6 Phase I launch adding 69.8 kilometers. Beijing's subway network surpassed Shanghai Metro temporarily becoming the world's longest metro system.
Beijing,Distance-Based Fare Implementation,A0050,2014/12,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Beijing Metro switched from a flat 2 yuan fare to a distance-based pricing system for all lines except airport express. The new fare structure starting at 3 yuan for trips up to 6 kilometers aimed to improve system sustainability and manage demand.
Beijing,Electric Bus Pilot Program,A0051,2008/01,Ongoing,N/A,Pilot,Alternative Drive Systems and Sharing Offers,Beijing deployed 50 electric buses to support the 2008 Summer Olympics representing an early commitment to zero-emission public transport. This pilot laid the foundation for large-scale electrification of the bus fleet.
Beijing,E-Bus Fleet Expansion 2013-2014,A0052,2013/01,2014/12,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Beijing planned to increase clean-energy and new-energy buses to 50 percent of its fleet by 2014 up from 80 percent diesel buses. The initiative included 100 pure electric vehicles and nine battery replacement stations serving 160 vehicles.
Beijing,2017-2020 E-Bus Scale-Up,A0053,2017/01,2020/12,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Beijing Public Transport Corporation launched a mission to increase the e-bus fleet from 1000 to over 11000 buses by 2020 accounting for more than 50 percent of the total fleet. By 2020 all buses in Beijing's downtown area and sub-center were powered by electricity.
Beijing,MaaS Platform Launch,A0054,2019/01,Ongoing,N/A,City-wide,Intelligent Traffic Control,Beijing launched a Mobility-as-a-Service platform providing integrated green mobility services. The platform focuses on door-to-door travel combining multiple transport modes with real-time information and carbon-inclusive incentives to promote sustainable transport choices.
Beijing,Smart Traffic Management System,A0055,2015/01,Ongoing,N/A,City-wide,Intelligent Traffic Control,Beijing implemented intelligent traffic management systems using AI to analyze data from traffic cameras and public transport systems. The technology enables real-time traffic signal adjustments to reduce congestion enhance emergency response and optimize urban mobility.
Beijing,Residential Building Retrofit Program,A0056,2007/01,Ongoing,N/A,City-wide,Energy-efficient Building Refurbishment,Large-scale energy efficiency retrofitting of existing residential buildings in northern heating areas began with a target of 150 million square meters by 2011-2015. The program included improvements to building envelopes heating systems and installation of heat metering devices.
Beijing,Public Building Energy Retrofit,A0057,2011/01,Ongoing,N/A,City-wide,Energy-efficient Building Refurbishment,Energy efficiency retrofit program for public buildings launched requiring 10 percent energy reduction for ordinary public buildings and 15 percent for large buildings over 20000 square meters. The program included financial incentives and energy monitoring systems for large public buildings.
Beijing,Green Building Incentive Fund,A0058,2023/06,Ongoing,N/A,City-wide,Energy-efficient Building Refurbishment,Beijing established an Incentive Fund for Green Building Development providing financial support for energy conservation renovation of existing buildings. The fund offers up to 20 yuan per square meter for public buildings achieving minimum 15-20 percent energy savings.
Beijing,Nearly Zero Energy Building Program,A0059,2014/01,Ongoing,N/A,Pilot,Energy-efficient Building Refurbishment,China's first nearly zero energy pilot commercial building was completed in Beijing as part of systematic NZEB research. The program established indicator systems and key technologies for ultra-low energy buildings with Beijing achieving 23 percent of its 2025 NZEB target by 2022.
Beijing,Million Tree Afforestation 2012-2017,A0060,2012/01,2017/12,N/A,City-wide,Green Infrastructure (Carbon Sinks),Beijing launched a large-scale afforestation project covering 66667 hectares aimed at improving urban environmental quality. The initiative increased tree coverage and established urban forests throughout the metropolitan area to enhance carbon sequestration and air quality.
Beijing,Second Phase Afforestation 2018-2022,A0061,2018/01,2022/12,N/A,City-wide,Green Infrastructure (Carbon Sinks),A new round of afforestation projects added 68000 hectares of green areas in Beijing. The massive urban forestry expansion aimed to provide multiple ecological services including climate regulation air purification and biodiversity conservation.
Beijing,Urban Park Development Program,A0062,2020/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Beijing developed 1050 parks of various types including urban leisure parks urban forests pocket parks and small green areas. By 2023 plans included adding 22 leisure parks and urban forests plus 50 pocket parks with a goal of 89 percent of residents having park access within 500 meters.
Beijing,Olympic Forest Park Establishment,A0063,2001/01,2008/12,N/A,City-wide,Green Infrastructure (Carbon Sinks),The Olympic Forest Park spanning 6.8 square kilometers was developed as part of preparations for the 2008 Olympics. The large urban forest includes extensive tree plantings native and non-native species and provides significant ecological and recreational benefits.
Beijing,National Forest City Designation,A0064,2015/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Beijing participated in China's National Forest City campaign emphasizing forest area per capita achievement at 11 square meters. The initiative focused on maintaining connectivity of forest patches across the city minimizing habitat fragmentation during urban expansion.
Beijing,Wetland Parks and Green Infrastructure,A0065,2015/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Beijing invested in green infrastructure including wetland parks and afforestation projects to enhance urban biodiversity and improve air quality. The investments aimed to create a more resilient and livable urban environment while providing ecosystem services.
Beijing,Sponge City Initiative,A0066,2015/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Beijing implemented sponge city concepts incorporating natural water management systems including permeable pavements green roofs and urban green spaces. The approach enhances urban resilience to flooding while providing co-benefits for climate adaptation and biodiversity.
Beijing,Master Plan Urban Containment,A0067,2017/01,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Beijing's master plan proposed building a pedestrian and bicycle-friendly city while managing urban growth to prevent sprawl. The plan emphasizes compact development transit-oriented development and preservation of green spaces to guide sustainable urbanization.
Beijing,Transit-Oriented Development Policy,A0068,2010/01,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Beijing promoted transit-oriented development integrating land-use and transport planning along BRT and metro corridors. The policy aims to organize urban growth around public transport nodes reducing the need for private vehicle travel and limiting urban sprawl.
New Delhi,Delhi Metro Phase 1,A0069,2002/12,2006/11,N/A,City-wide,Expansion of Public Local Transport,The first phase of Delhi Metro opened with Red Line beginning operations. Phase 1 comprised sixty-five kilometers of track with fifty-nine stations serving major corridors and connecting key areas of the city.
New Delhi,Delhi Metro Phase 2,A0070,2008/06,2011/08,N/A,City-wide,Expansion of Public Local Transport,Phase 2 expanded the metro network by adding one hundred twenty-three kilometers and eighty-six stations including extensions to neighboring cities Noida and Gurgaon. The Airport Express Line connected the international airport to the city center.
New Delhi,Delhi Metro Phase 3,A0071,2014/06,2019/03,N/A,City-wide,Expansion of Public Local Transport,Phase 3 added one hundred sixty kilometers and one hundred nine stations with three new lines including Magenta Line Pink Line and extensions to existing corridors significantly expanding coverage to outer districts.
New Delhi,CNG Bus Fleet Conversion,A0072,2001/01,2004/12,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Delhi Transport Corporation converted its entire bus fleet from diesel to compressed natural gas following Supreme Court mandate. This transition involved replacing conventional buses with CNG-powered vehicles reducing particulate and greenhouse gas emissions.
New Delhi,Low Floor CNG Buses,A0073,2007/01,2011/12,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Introduction of three thousand seven hundred low-floor CNG buses for Commonwealth Games 2010 including air-conditioned and non-air-conditioned models with accessibility features. These buses improved comfort and access while maintaining clean fuel technology.
New Delhi,Electric Bus Pilot Program,A0074,2022/01,Ongoing,N/A,Pilot,Alternative Drive Systems and Sharing Offers,Initial deployment of four hundred electric buses under FAME II scheme marking transition toward electrification of public transport fleet with twelve-meter buses capable of one hundred twenty kilometers range on single charge.
New Delhi,BRT Corridor Delhi,A0075,2008/04,Ongoing,N/A,Medium (District/Corridor),Expansion of Public Local Transport,Bus Rapid Transit corridor implemented along select routes to provide dedicated bus lanes though faced challenges with limited expansion and integration issues compared to original ambitious plans.
New Delhi,Delhi Green Action Plan,A0076,2000/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Annual tree plantation program undertaken by Department of Forests and Wildlife in collaboration with twenty greening agencies. Program includes free distribution of seedlings to public and community groups for urban greening initiatives.
New Delhi,Urban Forest Development,A0077,2009/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Expansion of green cover from twenty-six square kilometers in 1997 to two hundred ninety-six square kilometers by 2009 through active planting programs biodiversity parks and community involvement achieving recognition through national awards.
Shenzhen,Shenzhen Metro Phase 1,A0078,2004/12,2004/12,N/A,City-wide,Expansion of Public Local Transport,Initial metro line opened connecting Futian Checkpoint to Children's Palace with twenty-one kilometers and twenty stations establishing Shenzhen as eighth city in China with underground rail system.
Shenzhen,Shenzhen Metro Phase 2,A0079,2008/06,2011/06,N/A,City-wide,Expansion of Public Local Transport,Phase 2 added one hundred kilometers of track including extensions of Line 1 and introduction of Lines 2 3 and 5 creating four-horizontal and three-vertical network pattern covering more districts.
Shenzhen,Shenzhen Metro Phase 3,A0080,2014/06,2020/08,N/A,City-wide,Expansion of Public Local Transport,Phase 3 brought Lines 6 7 9 10 and 11 into operation adding one hundred seven kilometers. Notable features included airport express Line 11 with one hundred twenty kilometer per hour design speed and enhanced connectivity to peripheral districts.
Shenzhen,Electric Bus Pilot Program,A0081,2009/01,2011/08,N/A,Pilot,Alternative Drive Systems and Sharing Offers,Initial deployment of first one hundred electric buses by BYD for demonstration testing technology and operations. Two hundred units operated during 2011 Universiade establishing foundation for full fleet electrification.
Shenzhen,Full Electric Bus Fleet,A0082,2015/01,2017/12,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Complete conversion of sixteen thousand public buses to electric power making Shenzhen worlds first city with fully electric bus fleet. Transition utilized primarily BYD K8 buses with two hundred fifty kilometer battery range and extensive charging infrastructure.
Shenzhen,Electric Taxi Fleet,A0083,2016/01,2018/12,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Electrification of twenty-two thousand taxis replacing conventional vehicles with BYD e6 electric models achieving complete transition and reducing carbon emissions by eight hundred fifty-six thousand metric tons annually.
Shenzhen,Dockless Bike Sharing,A0084,2016/10,Ongoing,N/A,City-wide,Expansion of Bicycle Paths,Launch of dockless shared bicycle systems with GPS-enabled bikes allowing flexible point-to-point travel. Programs replaced estimated ten percent of car trips contributing to reduced emissions and solving last-mile connectivity.
Shenzhen,Non-Motorized Vehicle Lanes,A0085,2010/01,Ongoing,N/A,City-wide,Expansion of Bicycle Paths,Expansion of bicycle infrastructure from approximately nine hundred fifty kilometers in 2016 to three thousand one hundred ninety-seven kilometers with twenty-seven percent of city roads designated for non-motorized vehicles supporting cycling integration with public transport.
Shenzhen,Ecological Control Line Policy,A0086,2010/01,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Implementation of protection policy reserving fifty percent of Shenzhen land for ecological preservation. Measure reduced carbon loss by forty-one percent and preserved coastal carbon sinks while slowing habitat fragmentation from rapid urbanization.
Shenzhen,Urban Green Space Program,A0087,2005/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Systematic development of urban parks green belts and tree planting initiatives despite rapid urbanization. Programs included integration of green infrastructure into high-density developments and preservation of ecological resources in southeastern regions.
Tokio,ITS Network Development (Legacy),A0088,1960/12,Ongoing,N/A,City-wide,Intelligent Traffic Control,Tokyo pioneered sophisticated traffic control systems dating back to the late 1960s; using real-time surveillance and adaptive signal management to continually optimize traffic flow; reduce congestion and minimize idling emissions across major roadways.
Tokio,Urban Renewal Act Enforcement,A0089,1969/06,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),This foundational legislation enables integrated urban revitalization; consolidating small land parcels for vertical densification (high-rise rebuilding) and improving public infrastructure; preventing low-density functional sprawl and maintaining compact city structure.
Tokio,Mandatory Green Roof Ordinance,A0090,2001/04,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),The pioneering Nature Conservation Ordinance mandates green spaces on new and renovated large buildings (e.g.; private over 1;000 sqm). This measure reduces the urban heat island effect; significantly cutting building cooling demand and associated energy emissions.
Tokio,Cap-and-Trade Program Launch,A0091,2010/04,Ongoing,N/A,City-wide,Energy-efficient Building Refurbishment,Launched the world's first mandatory urban ETS; covering approximately 1;300 large commercial and industrial facilities. The program imposes escalating CO2 reduction targets (e.g.; 8% in the first period; 17% in the second); requiring continuous energy efficiency measures and deep refurbishments.
Tokio,Chūō Shinkansen Construction,A0092,2014/01,2034/01,N/A,Medium (District/Corridor),Expansion of Public Long-Distance Transport,Initiated construction of the high-speed Maglev rail line linking Tokyo to Nagoya/Osaka. Although completion is long-term; this massive project substitutes high-carbon domestic air and road travel with electrified; low-carbon rail infrastructure.
Tokio,ZEV Promotion and ZEB Target,A0093,2019/12,Ongoing,N/A,City-wide,Alternative Drive Systems and Sharing Offers,The Zero Emission Tokyo Strategy formalized key targets; including aiming for 50% ZEV market share in new passenger car sales by 2030 and introducing at least 300 Zero Emission Buses by 2030; supported by continuous government subsidies.
Tokio,Micromobility Sharing Integration,A0094,2018/07,Ongoing,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Rapid scaling of private sector electric micromobility sharing services (e.g.; e-scooters; e-bikes); with strategic integration points at rail stations (e.g.; Tokyu lines) to solve the last-mile issue and substitute short private vehicle trips.
Tokio,Plan for Bicycle Promotion,A0095,2021/01,Ongoing,N/A,City-wide,Expansion of Bicycle Paths,Launched the strategic plan to expand the cycling network by nearly 50%; aiming to increase the existing network from 430 km to 621 km by 2030 to enhance safe cycling infrastructure and boost the high modal share (14.1%).
Tokio,Metro Line Extension Policy Approval,A0096,2022/03,Ongoing,N/A,Medium (District/Corridor),Expansion of Public Local Transport,Policy authorization received for critical metro network extensions; including the Yūrakuchō and Namboku lines; to serve key urban development zones (e.g.; Toyosu) and enhance network connectivity; reducing road traffic congestion in central areas.
Tokio,Residential Deep Renovation Subsidies,A0097,2023/01,Ongoing,N/A,City-wide,Energy-efficient Building Refurbishment,Implementation of national and metropolitan subsidy schemes focusing on existing residential stock; such as support for converting detached houses into Net Zero Energy Houses (ZEH) through insulation and advanced window renovation projects.
Tokio,Tokyo Sky Corridor Planning,A0098,2023/05,Ongoing,N/A,Medium (District/Corridor),Expansion of Pedestrian Paths,Formal policy promotion and planning initiated to convert a two-kilometer section of the Tokyo Expressway (KK Line; Shimbashi-Kyobashi) into an elevated green walkway; prioritizing walkable urban development and green space creation in the city center.
Lima,Metropolitano BRT System Launch,A0099,2010/10,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Full operation of Lima's dedicated Bus Rapid Transit system; providing high-capacity; dedicated corridors across the metropolitan area.
Lima,Metro Line 1 Revenue Service Start,A0100,2012/04,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Start of full commercial passenger service on the first phase of the electric commuter rail line.
Lima,Lima Verde Reforestation Program,A0101,2022/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Municipal program aiming to plant one million trees by 2026 across hillsides and public recreational spaces to combat urban heat islands.
Lima,UCAP CAI Cycle Network Strategy,A0102,2022/01,Ongoing,N/A,City-wide,Expansion of Bicycle Paths,UK-funded program developing a cycle-inclusive strategy; evaluating 100 kilometers of network and prioritizing new path designs.
Lima,World Bank ITS Program Initiation,A0103,2023/10,Ongoing,N/A,City-wide,Intelligent Traffic Control,Initiation of a long-term investment program to install modern traffic light systems and an upgraded control center at over 500 intersections.
Lima,Miraflores Intelligent Traffic Management,A0104,2022/07,Ongoing,N/A,Medium (District/Corridor),Intelligent Traffic Control,Implementation of the Kapsch Ecotrafix solution integrating mobility management software and advanced signalization within the Miraflores district.
Lima,BRT North Extension Civil Works Completion,A0105,2021/04,2023/12,N/A,Medium (District/Corridor),Expansion of Public Local Transport,Completion of civil works for the extension of the Metropolitano BRT system; enabling partial operational readiness by December 2023.
Lima,CityBike Miraflores Public Bike Sharing,A0106,2017/01,Ongoing,N/A,Pilot,Alternative Drive Systems and Sharing Offers,Launch of a public; dock-based bike sharing system with 100 stations located within the Miraflores district.
Lima,LIMA Estate Electric Minibus Shuttle,A0107,2023/04,Ongoing,N/A,Pilot,Alternative Drive Systems and Sharing Offers,Private sector provision of a fleet of electric minibuses for the inter-estate shuttle system; shifting captive transport away from diesel.
