City_ID,Country,Region_Code,Climate_Zone,Date,Population_2025_Mio,Median_Age_Years,GDP_Billion_USD,GDP_per_Capita_USD
Beijing,China,ASIA,Temperate Zone,2012/01,20.6,34,307.7,14937
Beijing,China,ASIA,Temperate Zone,2013/01,21.0,35,346.7,16509
Beijing,China,ASIA,Temperate Zone,2014/01,21.5,35,387.2,18009
Beijing,China,ASIA,Temperate Zone,2014/12,21.7,35,420.9,19396
Beijing,China,ASIA,Temperate Zone,2015/01,21.8,36,423.5,19420
Beijing,China,ASIA,Temperate Zone,2016/01,21.9,36,448.9,20498
Beijing,China,ASIA,Temperate Zone,2017/01,21.8,36,478.4,21945
Beijing,China,ASIA,Temperate Zone,2018/01,21.7,37,510.9,23544
Beijing,China,ASIA,Temperate Zone,2019/01,21.6,37,542.4,25111
Beijing,China,ASIA,Temperate Zone,2020/01,21.5,38,565.4,26300
Beijing,China,ASIA,Temperate Zone,2023/06,21.1,39,638.1,30242
New Delhi,India,ASIA,Subtropical Zone,2000/01,13.8,22,23.1,1674
New Delhi,India,ASIA,Subtropical Zone,2001/01,14.5,22,25.6,1766
New Delhi,India,ASIA,Subtropical Zone,2002/12,15.8,22,31.7,2006
New Delhi,India,ASIA,Subtropical Zone,2007/01,19.3,23,54.8,2839
New Delhi,India,ASIA,Subtropical Zone,2008/04,20.3,23,61.9,3049
New Delhi,India,ASIA,Subtropical Zone,2008/06,20.5,23,62.8,3063
New Delhi,India,ASIA,Subtropical Zone,2009/01,21.0,24,67.6,3219
New Delhi,India,ASIA,Subtropical Zone,2014/06,25.3,26,108.3,4281
New Delhi,India,ASIA,Subtropical Zone,2022/01,31.1,28,158.8,5106
Shenzhen,China,ASIA,Subtropical Zone,2004/12,9.7,29,56.0,5773
Shenzhen,China,ASIA,Subtropical Zone,2005/01,9.8,29,56.8,5796
Shenzhen,China,ASIA,Subtropical Zone,2008/06,10.6,30,96.3,9085
Shenzhen,China,ASIA,Subtropical Zone,2009/01,10.7,30,103.5,9673
Shenzhen,China,ASIA,Subtropical Zone,2010/01,10.9,31,123.7,11349
Shenzhen,China,ASIA,Subtropical Zone,2014/06,12.0,32,224.2,18683
Shenzhen,China,ASIA,Subtropical Zone,2015/01,12.1,32,240.2,19851
Shenzhen,China,ASIA,Subtropical Zone,2016/01,12.3,32,277.6,22569
Shenzhen,China,ASIA,Subtropical Zone,2016/10,12.4,32,296.8,23935
Tokio,Japan,ASIA,Temperate Zone,1960/12,9.7,29,20.0,2062
Tokio,Japan,ASIA,Temperate Zone,1969/06,11.5,31,65.0,5652
Tokio,Japan,ASIA,Temperate Zone,2001/04,12.2,38,705.4,57820
Tokio,Japan,ASIA,Temperate Zone,2010/04,13.0,42,880.8,67754
Tokio,Japan,ASIA,Temperate Zone,2014/01,13.3,44,978.2,73549
Tokio,Japan,ASIA,Temperate Zone,2018/07,13.7,46,1065.7,77788
Tokio,Japan,ASIA,Temperate Zone,2019/12,13.9,47,1087.0,78201
Tokio,Japan,ASIA,Temperate Zone,2021/01,14.0,48,1027.0,73357
Tokio,Japan,ASIA,Temperate Zone,2022/03,14.1,49,1030.0,73050
Tokio,Japan,ASIA,Temperate Zone,2023/01,14.2,49,1035.0,72887
Tokio,Japan,ASIA,Temperate Zone,2023/05,14.3,50,1038.0,72587
Lima,Peru,SA,Subtropical Zone,2010/10,8.7,27,105.1,12080
Lima,Peru,SA,Subtropical Zone,2012/04,9.0,28,121.7,13522
Lima,Peru,SA,Subtropical Zone,2017/01,10.0,29,152.4,15240
Lima,Peru,SA,Subtropical Zone,2020/01,10.5,30,165.2,15733
Lima,Peru,SA,Subtropical Zone,2021/04,10.8,30,174.1,16120
Lima,Peru,SA,Subtropical Zone,2022/01,11.0,31,180.5,16409
Lima,Peru,SA,Subtropical Zone,2022/07,11.1,31,184.2,16595
Lima,Peru,SA,Subtropical Zone,2023/01,11.2,32,187.9,16777
Lima,Peru,SA,Subtropical Zone,2023/04,11.3,32,190.2,16832
Lima,Peru,SA,Subtropical Zone,2023/10,11.4,32,194.5,17061
Mumbai,India,ASIA,Tropical Zone,2005/01,17.2,23,55.0,3198
Mumbai,India,ASIA,Tropical Zone,2009/05,18.8,24,80.5,4282
Mumbai,India,ASIA,Tropical Zone,2017/01,21.5,27,150.3,6991
Mumbai,India,ASIA,Tropical Zone,2018/09,21.9,27,169.2,7726
Mumbai,India,ASIA,Tropical Zone,2020/01,22.3,28,187.8,8422
Mumbai,India,ASIA,Tropical Zone,2021/06,22.6,28,198.5,8783
Mumbai,India,ASIA,Tropical Zone,2022/04,22.8,29,211.5,9276
Mumbai,India,ASIA,Tropical Zone,2023/12,23.3,29,235.0,10086
Bengaluru,India,ASIA,Tropical Zone,2011/10,8.1,25,58.8,7259
Bengaluru,India,ASIA,Tropical Zone,2014/03,9.0,26,75.9,8433
Bengaluru,India,ASIA,Tropical Zone,2015/01,9.3,26,85.2,9161
Bengaluru,India,ASIA,Tropical Zone,2015/06,9.5,26,89.5,9421
Bengaluru,India,ASIA,Tropical Zone,2016/01,9.7,26,97.7,10072
Bengaluru,India,ASIA,Tropical Zone,2017/01,10.1,27,110.2,10911
Bengaluru,India,ASIA,Tropical Zone,2017/06,10.3,27,115.5,11214
Bengaluru,India,ASIA,Tropical Zone,2018/01,10.5,27,123.6,11771
Bengaluru,India,ASIA,Tropical Zone,2019/01,10.8,28,138.8,12852
Bengaluru,India,ASIA,Tropical Zone,2021/08,11.5,28,159.2,13843
Bengaluru,India,ASIA,Tropical Zone,2023/03,12.0,29,183.0,15250
São Paulo,Brazil,SA,Subtropical Zone,2010/05,20.0,30,225.2,11260
São Paulo,Brazil,SA,Subtropical Zone,2013/01,20.8,31,273.9,13168
São Paulo,Brazil,SA,Subtropical Zone,2014/01,21.1,32,284.1,13464
São Paulo,Brazil,SA,Subtropical Zone,2014/07,21.3,32,290.7,13648
São Paulo,Brazil,SA,Subtropical Zone,2014/08,21.3,32,291.6,13702
São Paulo,Brazil,SA,Subtropical Zone,2015/01,21.5,33,288.0,13395
São Paulo,Brazil,SA,Subtropical Zone,2016/01,21.8,33,275.6,12642
São Paulo,Brazil,SA,Subtropical Zone,2017/01,22.1,34,291.9,13208
São Paulo,Brazil,SA,Subtropical Zone,2018/01,22.4,34,310.8,13875
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2004/01,6.5,25,11.5,1769
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2010/01,7.5,27,24.2,3227
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2011/03,7.7,28,27.9,3623
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2012/08,8.0,28,32.3,4038
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2013/04,8.2,29,35.7,4354
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2015/01,8.5,29,42.5,5000
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2015/04,8.6,29,43.5,5058
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2018/01,9.0,30,55.1,6122
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2019/01,9.2,30,60.8,6609
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2019/02,9.2,30,61.4,6674
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2020/01,9.3,31,63.6,6839
Ho Chi Minh City,Vietnam,ASIA,Tropical Zone,2021/04,9.5,31,67.8,7137
Jakarta,Indonesia,ASIA,Tropical Zone,2004/01,13.0,24,33.0,2538
Jakarta,Indonesia,ASIA,Tropical Zone,2009/01,15.0,26,71.0,4733
Jakarta,Indonesia,ASIA,Tropical Zone,2010/01,15.6,26,81.5,5224
Jakarta,Indonesia,ASIA,Tropical Zone,2012/01,16.6,27,109.8,6614
Jakarta,Indonesia,ASIA,Tropical Zone,2013/10,17.4,28,129.5,7443
Jakarta,Indonesia,ASIA,Tropical Zone,2015/01,18.0,28,144.0,8000
Jakarta,Indonesia,ASIA,Tropical Zone,2015/09,18.2,28,150.5,8269
Jakarta,Indonesia,ASIA,Tropical Zone,2017/01,18.7,29,168.0,8984
Jakarta,Indonesia,ASIA,Tropical Zone,2018/01,19.0,29,184.2,9695
Jakarta,Indonesia,ASIA,Tropical Zone,2019/01,19.3,29,200.5,10389
Jakarta,Indonesia,ASIA,Tropical Zone,2020/01,19.6,30,212.0,10816
Jakarta,Indonesia,ASIA,Tropical Zone,2020/04,19.7,30,215.1,10919
Jakarta,Indonesia,ASIA,Tropical Zone,2021/01,19.9,30,224.5,11281
Jakarta,Indonesia,ASIA,Tropical Zone,2021/04,20.0,30,228.0,11400
Jakarta,Indonesia,ASIA,Tropical Zone,2022/02,20.2,31,241.0,11931
Jakarta,Indonesia,ASIA,Tropical Zone,2022/08,20.4,31,250.0,12255
Chengdu,China,ASIA,Subtropical Zone,2010/01,13.4,32,71.0,5299
Chengdu,China,ASIA,Subtropical Zone,2010/09,13.7,32,77.3,5642
Chengdu,China,ASIA,Subtropical Zone,2011/01,13.8,32,83.4,6043
Chengdu,China,ASIA,Subtropical Zone,2012/01,14.0,33,100.9,7207
Chengdu,China,ASIA,Subtropical Zone,2014/10,14.8,34,178.6,12068
Chengdu,China,ASIA,Subtropical Zone,2015/01,14.9,34,188.8,12671
Chengdu,China,ASIA,Subtropical Zone,2017/01,15.7,35,228.6,14560
Chengdu,China,ASIA,Subtropical Zone,2018/01,16.0,36,259.9,16244
Chengdu,China,ASIA,Subtropical Zone,2020/12,16.9,37,298.6,17672
Bangkok,Thailand,ASIA,Tropical Zone,1999/12,9.6,30,81.0,8438
Bangkok,Thailand,ASIA,Tropical Zone,2004/07,10.2,33,103.5,10147
Bangkok,Thailand,ASIA,Tropical Zone,2007/01,10.7,35,123.5,11542
Bangkok,Thailand,ASIA,Tropical Zone,2010/01,11.3,37,148.0,13097
Bangkok,Thailand,ASIA,Tropical Zone,2010/08,11.4,37,151.0,13246
Bangkok,Thailand,ASIA,Tropical Zone,2011/08,11.6,38,160.0,13793
Bangkok,Thailand,ASIA,Tropical Zone,2015/01,12.2,40,195.0,15984
Bangkok,Thailand,ASIA,Tropical Zone,2016/08,12.5,41,208.5,16680
Bangkok,Thailand,ASIA,Tropical Zone,2018/01,12.8,42,225.0,17578
Bangkok,Thailand,ASIA,Tropical Zone,2020/01,13.1,43,240.5,18359
Bangkok,Thailand,ASIA,Tropical Zone,2021/01,13.2,43,245.0,18561
Bangkok,Thailand,ASIA,Tropical Zone,2022/01,13.3,44,250.5,18835
Bangkok,Thailand,ASIA,Tropical Zone,2023/06,13.6,45,263.0,19338
Bangkok,Thailand,ASIA,Tropical Zone,2023/07,13.6,45,264.0,19412
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2001/01,3.7,26,20.0,5405
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2007/01,4.5,27,37.3,8289
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2010/01,5.1,28,48.0,9412
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2011/01,5.3,28,51.8,9774
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2011/11,5.5,28,55.4,10073
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2015/01,6.3,29,71.0,11270
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2016/06,6.5,30,76.5,11769
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2017/01,6.6,30,80.0,12121
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2017/07,6.8,30,83.0,12206
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2019/01,7.2,31,94.5,13125
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2020/01,7.4,31,98.6,13324
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2022/06,7.8,32,108.5,13910
Kuala Lumpur,Malaysia,ASIA,Tropical Zone,2023/03,7.9,32,112.5,14241
Qingdao,China,ASIA,Temperate Zone,2012/01,8.8,38,105.8,12023
Qingdao,China,ASIA,Temperate Zone,2013/01,9.0,38,126.9,14100
Qingdao,China,ASIA,Temperate Zone,2015/01,9.3,39,150.0,16129
Qingdao,China,ASIA,Temperate Zone,2015/12,9.4,39,160.7,17096
Qingdao,China,ASIA,Temperate Zone,2016/01,9.4,39,162.2,17255
Qingdao,China,ASIA,Temperate Zone,2016/08,9.5,39,171.1,18011
Qingdao,China,ASIA,Temperate Zone,2018/01,9.6,40,189.5,19740
Qingdao,China,ASIA,Temperate Zone,2020/01,9.9,41,215.3,21747
Cairo,Egypt,AFR,Subtropical Zone,1987/09,8.8,20,38.0,4318
Cairo,Egypt,AFR,Subtropical Zone,2010/01,16.9,24,105.0,6213
Cairo,Egypt,AFR,Subtropical Zone,2014/05,18.5,25,140.0,7568
Cairo,Egypt,AFR,Subtropical Zone,2014/06,18.5,25,140.5,7595
Cairo,Egypt,AFR,Subtropical Zone,2015/01,18.8,25,150.0,7979
Cairo,Egypt,AFR,Subtropical Zone,2020/01,20.9,26,185.0,8852
Cairo,Egypt,AFR,Subtropical Zone,2021/01,21.3,26,195.0,9155
London,UK,EUR,Temperate Zone,2003/02,8.1,34,350.0,43210
London,UK,EUR,Temperate Zone,2004/01,8.2,34,370.0,45122
London,UK,EUR,Temperate Zone,2008/02,8.6,35,470.0,54651
London,UK,EUR,Temperate Zone,2010/01,8.7,35,490.0,56322
London,UK,EUR,Temperate Zone,2010/07,8.7,35,500.0,57471
London,UK,EUR,Temperate Zone,2011/01,8.8,36,515.0,58523
London,UK,EUR,Temperate Zone,2015/01,9.0,36,605.0,67222
London,UK,EUR,Temperate Zone,2016/01,9.1,37,630.0,69231
London,UK,EUR,Temperate Zone,2017/01,9.2,37,650.0,70652
London,UK,EUR,Temperate Zone,2019/01,9.4,38,705.0,75000
London,UK,EUR,Temperate Zone,2019/04,9.4,38,710.0,75532
London,UK,EUR,Temperate Zone,2020/01,9.5,38,725.0,76316
London,UK,EUR,Temperate Zone,2020/05,9.6,39,730.0,76042
London,UK,EUR,Temperate Zone,2020/06,9.6,39,732.0,76250
London,UK,EUR,Temperate Zone,2021/10,9.7,39,750.0,77320
London,UK,EUR,Temperate Zone,2022/05,9.8,40,770.0,78571
Seoul,South Korea,ASIA,Temperate Zone,2004/01,9.8,36,210.0,21429
Seoul,South Korea,ASIA,Temperate Zone,2005/09,9.8,37,235.0,23980
Seoul,South Korea,ASIA,Temperate Zone,2013/01,9.9,39,360.0,36364
Seoul,South Korea,ASIA,Temperate Zone,2015/10,10.0,40,405.0,40500
Seoul,South Korea,ASIA,Temperate Zone,2016/01,10.0,40,415.0,41500
Seoul,South Korea,ASIA,Temperate Zone,2017/01,9.9,41,430.0,43434
Seoul,South Korea,ASIA,Temperate Zone,2018/01,9.9,41,450.0,45455
Seoul,South Korea,ASIA,Temperate Zone,2021/01,9.7,42,475.0,48969
Seoul,South Korea,ASIA,Temperate Zone,2022/01,9.7,43,485.0,49897
Seoul,South Korea,ASIA,Temperate Zone,2023/01,9.6,44,495.0,51562
Seoul,South Korea,ASIA,Temperate Zone,2024/01,9.6,44,505.0,52604
Nanjing,China,ASIA,Temperate Zone,2005/01,6.5,33,31.2,4800
Nanjing,China,ASIA,Temperate Zone,2005/09,6.6,33,35.3,5348
Nanjing,China,ASIA,Temperate Zone,2010/01,7.2,35,76.5,10625
Nanjing,China,ASIA,Temperate Zone,2012/01,7.4,36,105.7,14284
Nanjing,China,ASIA,Temperate Zone,2014/01,7.8,37,133.0,17051
Nanjing,China,ASIA,Temperate Zone,2015/01,7.9,37,144.5,18291
Nanjing,China,ASIA,Temperate Zone,2016/01,8.0,38,155.0,19375
Nanjing,China,ASIA,Temperate Zone,2018/01,8.4,39,186.0,22143
Mexico City,Mexico,NA,Tropical Zone,2005/06,18.7,26,170.0,9091
Mexico City,Mexico,NA,Tropical Zone,2007/01,19.2,27,192.0,10000
Mexico City,Mexico,NA,Tropical Zone,2008/01,19.4,27,205.0,10567
Mexico City,Mexico,NA,Tropical Zone,2010/01,20.1,28,230.0,11443
Mexico City,Mexico,NA,Tropical Zone,2010/02,20.1,28,231.0,11493
Mexico City,Mexico,NA,Tropical Zone,2014/01,21.0,30,270.0,12857
Mexico City,Mexico,NA,Tropical Zone,2019/01,21.8,32,320.0,14679
Mexico City,Mexico,NA,Tropical Zone,2020/01,22.1,32,335.0,15158
Dhaka,Bangladesh,ASIA,Tropical Zone,2004/01,11.8,21,19.5,1653
Dhaka,Bangladesh,ASIA,Tropical Zone,2005/01,12.2,21,21.5,1762
Dhaka,Bangladesh,ASIA,Tropical Zone,2010/01,14.7,23,43.0,2925
Dhaka,Bangladesh,ASIA,Tropical Zone,2015/01,17.6,24,75.0,4261
Dhaka,Bangladesh,ASIA,Tropical Zone,2016/06,18.5,25,87.0,4703
Dhaka,Bangladesh,ASIA,Tropical Zone,2022/12,21.8,28,155.0,7110
New York City,USA,NA,Temperate Zone,1894/01,3.0,26,1.9,633
New York City,USA,NA,Temperate Zone,1990/01,7.3,33,350.0,47945
New York City,USA,NA,Temperate Zone,2007/01,8.3,35,780.0,93976
New York City,USA,NA,Temperate Zone,2008/01,8.4,36,810.0,96429
New York City,USA,NA,Temperate Zone,2010/01,8.5,36,870.0,102353
New York City,USA,NA,Temperate Zone,2013/05,8.6,37,960.0,111628
New York City,USA,NA,Temperate Zone,2014/01,8.6,37,990.0,115116
New York City,USA,NA,Temperate Zone,2015/01,8.7,38,1030.0,118391
New York City,USA,NA,Temperate Zone,2019/01,8.8,38,1180.0,134091
New York City,USA,NA,Temperate Zone,2019/07,8.8,38,1190.0,135227
New York City,USA,NA,Temperate Zone,2020/01,8.9,39,1210.0,135955
Ahmedabad,India,ASIA,Tropical Zone,2005/01,5.1,23,19.3,3784
Ahmedabad,India,ASIA,Tropical Zone,2009/01,6.0,24,30.0,5000
Ahmedabad,India,ASIA,Tropical Zone,2009/10,6.2,24,33.0,5323
Ahmedabad,India,ASIA,Tropical Zone,2009/12,6.2,24,33.7,5435
Ahmedabad,India,ASIA,Tropical Zone,2010/01,6.3,25,34.0,5397
Ahmedabad,India,ASIA,Tropical Zone,2012/09,6.7,25,44.5,6642
Ahmedabad,India,ASIA,Tropical Zone,2015/01,7.2,26,55.0,7639
Bogotá,Colombia,SA,Tropical Zone,1982/01,4.7,21,14.5,3085
Bogotá,Colombia,SA,Tropical Zone,1998/01,6.3,23,31.0,4921
Bogotá,Colombia,SA,Tropical Zone,1998/06,6.3,23,32.0,5079
Bogotá,Colombia,SA,Tropical Zone,2000/01,6.5,23,35.0,5385
Bogotá,Colombia,SA,Tropical Zone,2000/02,6.5,23,35.1,5400
Bogotá,Colombia,SA,Tropical Zone,2000/12,6.7,24,37.0,5522
Bogotá,Colombia,SA,Tropical Zone,2008/01,7.5,26,60.0,8000
Bogotá,Colombia,SA,Tropical Zone,2009/01,7.6,26,63.0,8289
Bogotá,Colombia,SA,Tropical Zone,2011/01,7.8,27,72.0,9231
Bogotá,Colombia,SA,Tropical Zone,2016/03,8.1,28,90.0,11111
Bogotá,Colombia,SA,Tropical Zone,2016/12,8.2,28,93.0,11341
Bogotá,Colombia,SA,Tropical Zone,2018/12,8.4,29,101.0,12024
Bogotá,Colombia,SA,Tropical Zone,2019/01,8.4,29,102.0,12143
Bogotá,Colombia,SA,Tropical Zone,2022/05,8.8,30,115.0,13068
Hong Kong,China,ASIA,Subtropical Zone,1976/01,4.4,26,16.5,3750
Hong Kong,China,ASIA,Subtropical Zone,1979/10,4.8,28,26.0,5417
Hong Kong,China,ASIA,Subtropical Zone,2000/01,6.7,37,175.0,26119
Hong Kong,China,ASIA,Subtropical Zone,2001/01,6.7,37,178.0,26567
Hong Kong,China,ASIA,Subtropical Zone,2010/01,7.0,40,240.0,34286
Hong Kong,China,ASIA,Subtropical Zone,2012/09,7.1,41,275.0,38732
Hong Kong,China,ASIA,Subtropical Zone,2018/01,7.4,43,365.0,49324
Hong Kong,China,ASIA,Subtropical Zone,2020/01,7.5,44,369.0,49200
Hong Kong,China,ASIA,Subtropical Zone,2020/02,7.5,44,369.5,49267
Hong Kong,China,ASIA,Subtropical Zone,2020/10,7.5,45,372.0,49600
Hong Kong,China,ASIA,Subtropical Zone,2022/06,7.4,46,368.0,49730
Hong Kong,China,ASIA,Subtropical Zone,2023/01,7.4,47,375.0,50676
Chennai,India,ASIA,Tropical Zone,2004/01,6.5,23,28.0,4308
Chennai,India,ASIA,Tropical Zone,2011/01,8.0,25,56.0,7000
Chennai,India,ASIA,Tropical Zone,2012/01,8.2,25,62.0,7561
Chennai,India,ASIA,Tropical Zone,2015/01,8.7,26,78.6,9034
Chennai,India,ASIA,Tropical Zone,2015/06,8.8,26,81.8,9295
Chennai,India,ASIA,Tropical Zone,2018/12,9.3,28,105.0,11290
Chennai,India,ASIA,Tropical Zone,2019/01,9.4,28,106.0,11277
Chennai,India,ASIA,Tropical Zone,2020/01,9.5,29,112.0,11789
Chennai,India,ASIA,Tropical Zone,2023/01,10.1,30,135.0,13366
Chennai,India,ASIA,Tropical Zone,2023/06,10.2,30,138.0,13529
Santiago,Chile,SA,Temperate Zone,1990/01,4.5,24,25.0,5556
Santiago,Chile,SA,Temperate Zone,1997/01,5.2,27,45.0,8654
Santiago,Chile,SA,Temperate Zone,2006/01,6.0,29,75.0,12500
Santiago,Chile,SA,Temperate Zone,2007/02,6.1,29,82.0,13443
Santiago,Chile,SA,Temperate Zone,2009/06,6.3,30,95.0,15079
Santiago,Chile,SA,Temperate Zone,2010/01,6.4,30,100.0,15625
Santiago,Chile,SA,Temperate Zone,2010/06,6.5,30,105.0,16154
Santiago,Chile,SA,Temperate Zone,2014/01,6.9,32,130.0,18841
Santiago,Chile,SA,Temperate Zone,2014/06,7.0,32,132.5,18929
Santiago,Chile,SA,Temperate Zone,2015/01,7.0,33,135.0,19286
Santiago,Chile,SA,Temperate Zone,2015/06,7.1,33,137.0,19296
Santiago,Chile,SA,Temperate Zone,2016/01,7.2,33,140.0,19444
Santiago,Chile,SA,Temperate Zone,2016/07,7.2,34,142.5,19792
Santiago,Chile,SA,Temperate Zone,2017/01,7.3,34,145.0,19863
Santiago,Chile,SA,Temperate Zone,2017/11,7.4,34,150.0,20270
Santiago,Chile,SA,Temperate Zone,2018/01,7.4,35,152.0,20541
Santiago,Chile,SA,Temperate Zone,2019/01,7.5,35,160.0,21333
Rio de Janeiro,Brazil,SA,Tropical Zone,1986/01,10.0,26,45.0,4500
Rio de Janeiro,Brazil,SA,Tropical Zone,2010/01,11.8,30,150.0,12712
Rio de Janeiro,Brazil,SA,Tropical Zone,2011/01,12.0,30,165.0,13750
Rio de Janeiro,Brazil,SA,Tropical Zone,2011/03,12.0,30,167.0,13917
Rio de Janeiro,Brazil,SA,Tropical Zone,2012/01,12.2,31,180.0,14754
Rio de Janeiro,Brazil,SA,Tropical Zone,2012/06,12.3,31,185.0,15041
Rio de Janeiro,Brazil,SA,Tropical Zone,2014/03,12.5,32,205.0,16400
Rio de Janeiro,Brazil,SA,Tropical Zone,2014/06,12.6,32,207.0,16429
Rio de Janeiro,Brazil,SA,Tropical Zone,2015/01,12.7,33,200.0,15748
Rio de Janeiro,Brazil,SA,Tropical Zone,2016/06,12.9,33,195.0,15116
Rio de Janeiro,Brazil,SA,Tropical Zone,2016/07,12.9,33,196.0,15194
Rio de Janeiro,Brazil,SA,Tropical Zone,2022/01,13.4,35,210.0,15672
Rio de Janeiro,Brazil,SA,Tropical Zone,2024/07,13.6,36,225.0,16544
Kolkata,India,ASIA,Tropical Zone,2009/08,14.6,24,53.0,3630
Kolkata,India,ASIA,Tropical Zone,2010/01,14.7,24,55.0,3741
Kolkata,India,ASIA,Tropical Zone,2011/01,15.0,25,60.0,4000
Kolkata,India,ASIA,Tropical Zone,2012/01,15.2,25,66.0,4342
Kolkata,India,ASIA,Tropical Zone,2013/01,15.4,25,72.0,4675
Kolkata,India,ASIA,Tropical Zone,2013/07,15.5,25,75.0,4839
Kolkata,India,ASIA,Tropical Zone,2014/01,15.6,26,79.0,5064
Kolkata,India,ASIA,Tropical Zone,2015/01,15.8,26,86.0,5443
Kolkata,India,ASIA,Tropical Zone,2017/12,16.2,27,105.0,6481
Kolkata,India,ASIA,Tropical Zone,2018/01,16.3,27,106.5,6534
Kolkata,India,ASIA,Tropical Zone,2020/01,16.6,28,118.0,7108
Kolkata,India,ASIA,Tropical Zone,2020/02,16.6,28,118.5,7139
Kolkata,India,ASIA,Tropical Zone,2022/07,17.0,29,135.0,7941
Kolkata,India,ASIA,Tropical Zone,2022/12,17.1,29,140.0,8187
Johannesburg,South Africa,AFR,Subtropical Zone,2007/01,3.8,25,60.0,15789
Johannesburg,South Africa,AFR,Subtropical Zone,2009/01,4.0,26,70.0,17500
Johannesburg,South Africa,AFR,Subtropical Zone,2009/08,4.1,26,73.0,17805
Johannesburg,South Africa,AFR,Subtropical Zone,2010/01,4.1,26,75.0,18293
Johannesburg,South Africa,AFR,Subtropical Zone,2010/06,4.2,26,77.0,18333
Johannesburg,South Africa,AFR,Subtropical Zone,2011/01,4.3,26,80.0,18605
Johannesburg,South Africa,AFR,Subtropical Zone,2013/01,4.6,27,88.0,19130
Johannesburg,South Africa,AFR,Subtropical Zone,2013/10,4.7,27,91.0,19362
