------------ Gemini ------------

City_ID,Action_Name,Action_ID,Start Date (Date),Costs (Number),Scope (String),Measure (Label),Short Description (Text)
Shanghai,Dockless Bike-Sharing System Launch,A04,2016,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Major bike-sharing operators including Mobike and OFO launched services in Shanghai starting in 2016. By 2017 approximately 1.5 million shared bikes were circulating in the city about one bike for every 16 citizens. Data showed that 90 percent of Shanghai's shared bikes were used around public transportation stops effectively serving as first-last mile connections. The integration helped reduce short car trips by five percent.
Shanghai,Electric Vehicle Incentive Program,A05,2013,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Shanghai became China's largest EV market from 2010 to 2019 with 310000 EVs sold. The city implemented incentives for EV buyers including free license plates for electric vehicles compared to a 10000 dollar licensing fee for gasoline-powered vehicles. Starting in 2013 buyers received subsidies and tax exemptions. By 2019 EV market share reached eight percent. The program included significant investment in charging infrastructure with continued expansion of charging stations throughout the city.
Shanghai,EV Charging Infrastructure Expansion,A06,2020,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Shanghai continuously released intelligent charging infrastructure standards and construction policies since 2020. The city implemented time-of-use electricity pricing and power demand response activities. By 2024 the city planned to install 10000 new public charging piles annually. The charging infrastructure supported the growing electric vehicle fleet and facilitated vehicle-to-grid interaction capabilities for flexible energy management.
Shanghai,Intelligent Traffic Management Systems,A07,Pre-2015,N/A,City-wide,Intelligent Traffic Control,Shanghai implemented intelligent traffic control systems incorporating sensors traffic monitoring cameras and real-time data analytics. The system included RFID-enabled license plates surveillance systems for traffic violation detection and smart signal coordination. The intelligent systems aimed to optimize traffic flow reduce congestion and improve road safety through data-driven management and automated incident detection capabilities.
Shanghai,Vehicle-Road Collaborative Systems,A08,2022,N/A,Pilot,Intelligent Traffic Control,Shanghai developed vehicle-road collaborative innovation applications from 2023-2025 featuring wireless communication between vehicles and infrastructure. In 2022 the city opened its first batch of self-driving expressways covering 21.5 km of urban expressway and 19.5 km of G2 Beijing-Shanghai expressway. The system enabled dynamic real-time information exchange active safety control and collaborative road management. By 2025 the city aimed to build over 800 km of smart expressways and roads.
Shanghai,Non-Shanghai Vehicle Access Restrictions,A09,2020,N/A,City-wide,Intelligent Traffic Control,Starting in 2020 vehicles registered outside Shanghai were prohibited from using elevated highways between 7am and 8pm on weekdays. Additional measures introduced in 2021 limited non-Shanghai registered passenger cars from entering the city center during peak hours specifically 7am-9am and 5pm-7pm on weekdays. These restrictions aimed to reduce traffic congestion and encourage use of public transportation and registered local vehicles.
Shanghai,Building Energy Efficiency Retrofit Program,A10,2013,N/A,City-wide,Energy-efficient Building Refurbishment,Shanghai Municipal Government Notice 311 issued in 2013 provided subsidies for retrofit projects reducing energy consumption per square meter by more than 20 percent. Projects received 40 CNY per square meter with Energy Performance Contracting or 35 CNY otherwise. A total of 67 buildings were retrofitted with low-carbon technologies in Changning District resulting in annual energy savings equivalent to over 78083 tons of coal and reducing carbon emissions by 189946 tons annually. The program expanded across other Shanghai districts.
Shanghai,Green Building Standards Implementation,A11,2019,N/A,City-wide,Energy-efficient Building Refurbishment,Since 2019 one hundred percent of new civil buildings in Shanghai implemented green building standards. The city enacted Green Building Management Measures promoting energy-efficient design contract energy management and professional hosting for green operations. Shanghai committed to promoting building-integrated distributed photovoltaic power generation and green materials. By 2022 the city required all new buildings to apply at least one kind of renewable energy and aimed to construct super-low energy consumption buildings covering five million square meters.
Shanghai,Public Building Energy Monitoring System,A12,Pre-2015,N/A,City-wide,Energy-efficient Building Refurbishment,Shanghai established a monitoring and hierarchical management system for energy efficiency of government office buildings and large public buildings. Building owners and users were required to regularly submit data on building energy consumption and carbon emissions. The system utilized a smart supervision platform for carbon emissions tracking. Buildings with annual energy consumption below limits and meeting advanced values received commendation promoting continuous energy efficiency improvements.
Shanghai,Urban Greening and Park Development,A13,Pre-2020,N/A,City-wide,Green Infrastructure (Carbon Sinks),Shanghai expanded urban green spaces and parks serving as carbon sinks through vegetation and soil carbon storage. The city's total urban green space area accounted for 6.38 percent of total land area by 2010. Urban forest carbon sequestration reached 2.87 million tons annually. Between 2019 and 2023 the number of parks increased by 162 reaching a total of 832 parks. The greening system featured large ecological forest land in suburbs and greenbelts wedges corridors and gardens in the central city.
Shanghai,Chongming Island Carbon Neutral Initiative,A14,Pre-2020,N/A,District,Green Infrastructure (Carbon Sinks),Chongming Island was designated as China's pioneering carbon-neutral zone featuring high forest coverage. The urban forest ecosystem on the island served as a moderate carbon sink with 318.47 grams of carbon per square meter per year. The initiative included continuous carbon flux observations and ecosystem monitoring to support Shanghai's carbon neutrality goals and provide a model for urban forest carbon sequestration.
Shanghai,Greenbelt and Ecological Protection Zones,A15,Pre-2020,N/A,City-wide,Green Infrastructure (Carbon Sinks),Shanghai established greenbelts around the city and formed a comprehensive greening system. The Master Plan 2017-2035 included 3500 square kilometers of protected ecological land. The spatial layout featured large ecological forest land in suburban areas complemented by greenbelts wedges corridors and gardens in central urban areas. The green infrastructure aimed to enhance carbon storage reduce urban heat island effects and improve air quality.
Shanghai,Master Plan Growth Boundary Controls,A16,1999,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),The Shanghai Master Plan 1999-2020 established growth boundaries to guide city expansion and control urban sprawl. The plan aimed to control the scale of the central area limiting land for urban construction to approximately 1500 square kilometers by 2020. The strategy guided population and industries from the central area toward suburbs promoting coordinated development between urban and rural areas while protecting agricultural land and ecological zones.
Shanghai,Compact City Development Strategy,A17,2001,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Shanghai adopted a multi-centered open spatial layout for the central city making reasonable adjustments to zoning structures. The Master Plan 2017-2035 aimed for 85 percent urbanization with 13.6 million city dwellers by 2020. The plan emphasized compact development preventing low-density sprawl by establishing suburban new towns and promoting transit-oriented development. The approach balanced economic growth with land use efficiency and resource conservation.
Shanghai,Agricultural Land Protection Policies,A18,Pre-2015,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Shanghai implemented land use plans attempting to balance agricultural and development land supply. Despite rapid urbanization the city maintained agricultural land as the largest land use type by area. Policies aimed to prevent conversion of cultivated land into construction land through planning controls and growth boundaries. The Municipal Land Use Plan established quotas and restrictions to preserve farmland and limit urban expansion into productive agricultural zones.
Shanghai,High-Speed Rail Connections,A19,Pre-2020,N/A,City-wide,Expansion of Public Long-Distance Transport,Shanghai developed high-speed rail connections as part of its transportation infrastructure characterized by the three ports and two roads framework. The city served as a major hub in China's high-speed rail network connecting to Beijing and other major cities. The rail infrastructure reduced reliance on air travel for inter-city connections and provided efficient long-distance public transport options integrated with the urban transit system.
Shanghai,Maglev Train System,A20,2004,N/A,Pilot,Expansion of Public Long-Distance Transport,Shanghai constructed the world's first commercial high-speed magnetic levitation line connecting Pudong International Airport to the city. The Maglev system operational since 2004 demonstrated advanced public transport technology and provided rapid airport access. The line served as both a functional transport link and a showcase for innovative transit solutions though its limited route remained a pilot-scale implementation.

------------ ChatGPT ------------
City_ID,Action_Name,Action_ID,Start Date,Costs,Scope,Measure,Short Description
Shanghai,Hongqiao CBD Pedestrian Network,A01,2010s,N/A,Medium (District),Expansion of Pedestrian Paths,"Hongqiao CBD has an integrated pedestrian network of elevated skywalks, underground passages and sidewalks, connecting buildings and metro stations in a highly walkable environment."
Shanghai,Bicycle Lane Network Expansion,A02,2010s-Ongoing,N/A,City-wide,Expansion of Bicycle Paths,"Shanghai has been expanding dedicated bicycle infrastructure across the city, adding protected bike lanes and greenway routes in new and existing neighborhoods to encourage cycling and reduce car use."
Shanghai,Metro and Bus Network Expansion,A03,2000s-Ongoing,N/A,City-wide,Expansion of Public Local Transport,"Shanghai’s urban rail and bus systems have rapidly expanded: the metro network now spans hundreds of kilometers with many new lines since 2010, and bus routes have been extended, greatly improving coverage and shifting trips from cars to low-emission transit."
Shanghai,High-Speed Rail Connectivity,A04,2010s,N/A,City-wide,Expansion of Public Long-Distance Transport,"Shanghai developed a major high-speed rail hub (Hongqiao Station) and expanded intercity rail lines connecting to cities like Beijing, Hangzhou and Guangzhou, making long-distance travel faster and more carbon-efficient."
Shanghai,Electrification of Public Fleet,A05,Ongoing (14th FYP),N/A,City-wide,Alternative Drive Systems and Sharing Offers,"Shanghai mandates that all new or replacement city buses and taxis be electric or fuel-cell vehicles, aiming to deploy tens of thousands of new-energy vehicles by the mid-2020s to cut transport emissions."
Shanghai,Citywide Bike-Sharing Program,A06,2016-Ongoing,N/A,City-wide,Alternative Drive Systems and Sharing Offers,"Starting in 2016, Shanghai launched a large-scale dockless bike-sharing program (Mobike, Ofo etc.), growing to over a million shared bicycles. The scheme was integrated with public transit and regulated parking to encourage cycling and reduce car trips."
Shanghai,Intelligent Traffic Management System,A07,2014-Ongoing,N/A,City-wide,Intelligent Traffic Control,"An AI-based traffic management system (IDPS) was implemented across Shanghai, covering thousands of intersections. It uses real-time data to optimize signal timing and deploy rapid incident response (including drones), improving traffic flow and safety."
Shanghai,Building Energy Retrofit Program,A08,2021-2025,N/A,City-wide,Energy-efficient Building Refurbishment,"Under the 2021-2025 plan, Shanghai is retrofitting around 80 million square meters of existing buildings with energy-saving measures (better insulation, efficient HVAC and lighting), and requiring new buildings to meet ultra-low-energy design standards, cutting building energy use."
Shanghai,Thousand Parks Green Plan,A09,2018-2025,N/A,City-wide,Green Infrastructure (Carbon Sinks),"The ""Thousand Parks Plan"" is creating hundreds of new parks by 2025, and Shanghai is expanding urban forests and green corridors (e.g. riverfront and suburban forests) to increase tree cover and carbon sinks while improving urban green space."
Shanghai,Compact Urban Development Policy,A10,2016-2035,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),"Shanghai’s urban planning emphasizes compact, mixed-use development and new urban sub-centers (like Hongqiao and Lingang) to contain sprawl. Agricultural and ecological zones (e.g. Chongming Island) are protected, helping limit the city’s growth footprint."


------------ End of comparison -----------
Measure Category,Gemini Action,Gemini ID,Gemini Start,Claude Action,Claude ID,Claude Start,ChatGPT Action,ChatGPT ID,ChatGPT Start,Notes
Expansion of Public Local Transport,Metro LCOI Start,A01,2006,Metro System Expansion Program,A01,1995,Metro and Bus Network Expansion,A03,2000s-Ongoing,All three describe Shanghai Metro expansion - different timeframes and focus areas
Expansion of Pedestrian Paths,Pedestrian Path Upgr.,A04,Pre-2024,Shanghai Street Design Guide Implementation,A02,2016,Hongqiao CBD Pedestrian Network,A01,2010s,Different pedestrian projects - Gemini: Nanjing Road; Claude: citywide guide; ChatGPT: Hongqiao district
Expansion of Bicycle Paths,Bike Sharing Infra.,A05,Pre-2024,Dedicated Cycling Infrastructure Development,A03,Pre-2010,Bicycle Lane Network Expansion,A02,2010s-Ongoing,All three describe bicycle infrastructure expansion across the city
Alternative Drive Systems - Bike Sharing,Bike Sharing Infra.,A05,Pre-2024,Dockless Bike-Sharing System Launch,A04,2016,Citywide Bike-Sharing Program,A06,2016-Ongoing,HIGH OVERLAP - Claude and ChatGPT both mention Mobike/OFO starting 2016
Alternative Drive Systems - EV Incentives,kWh Subsidy Program,A12,2023,Electric Vehicle Incentive Program,A05,2013,Electrification of Public Fleet,A05,Ongoing (14th FYP),Gemini: usage-based subsidies; Claude: free license plates; ChatGPT: public fleet electrification
Alternative Drive Systems - Charging Infra,100% Charging Prep.,A09,2020,EV Charging Infrastructure Expansion,A06,2020,N/A,N/A,N/A,Gemini and Claude both describe charging infrastructure from 2020
Alternative Drive Systems - Smart Charging,Smart Charging Standard,A10,2021,EV Charging Infrastructure Expansion,A06,2020,N/A,N/A,N/A,Gemini: technical standards; Claude: broader infrastructure policy
Alternative Drive Systems - Demand Response,EV Demand Response,A11,2022,N/A,N/A,N/A,N/A,N/A,N/A,Only Gemini describes this specific pilot program
Intelligent Traffic Control,IDPS 2.0 Pilot,A07,Pre-2024,Intelligent Traffic Management Systems,A07,Pre-2015,Intelligent Traffic Management System,A07,2014-Ongoing,HIGH OVERLAP - All three describe IDPS system with AI-powered traffic optimization
Intelligent Traffic Control - Vehicle Access,N/A,N/A,N/A,Non-Shanghai Vehicle Access Restrictions,A09,2020,N/A,N/A,N/A,Only Claude mentions access restrictions for non-Shanghai vehicles
Intelligent Traffic Control - V2X,N/A,N/A,N/A,Vehicle-Road Collaborative Systems,A08,2022,N/A,N/A,N/A,Only Claude describes vehicle-to-infrastructure communication
Energy-efficient Building Refurbishment - Monitoring,Bldg. Energy Monitoring,A02,2007,Public Building Energy Monitoring System,A12,Pre-2015,N/A,N/A,N/A,Gemini: first online platform (Changning); Claude: hierarchical management system
Energy-efficient Building Refurbishment - Retrofit,Bldg. Retrofit Rollout,A06,Pre-2024,Building Energy Efficiency Retrofit Program,A10,2013,Building Energy Retrofit Program,A08,2021-2025,HIGH OVERLAP - All three describe retrofit programs with 20%+ energy savings
Energy-efficient Building Refurbishment - Standards,N/A,N/A,N/A,Green Building Standards Implementation,A11,2019,Building Energy Retrofit Program,A08,2021-2025,Claude and ChatGPT mention green building standards for new construction
Green Infrastructure (Carbon Sinks) - Parks,Sponge Park/Green Infra.,A08,Pre-2024,Urban Greening and Park Development,A13,Pre-2020,Thousand Parks Green Plan,A09,2018-2025,All three describe park expansion - ChatGPT most specific with "Thousand Parks Plan"
Green Infrastructure - Chongming Island,N/A,N/A,N/A,Chongming Island Carbon Neutral Initiative,A14,Pre-2020,N/A,N/A,N/A,Only Claude mentions Chongming Island carbon-neutral zone
Green Infrastructure - Greenbelts,N/A,N/A,N/A,Greenbelt and Ecological Protection Zones,A15,Pre-2020,N/A,N/A,N/A,Only Claude describes comprehensive greenbelt system
Sustainable Land Management,ECL Land Mgmt,A03,Ongoing,Master Plan Growth Boundary Controls,A16,1999,Compact Urban Development Policy,A10,2016-2035,HIGH OVERLAP - All three describe urban growth boundaries and compact development
Sustainable Land Management - Agricultural,N/A,N/A,N/A,Agricultural Land Protection Policies,A18,Pre-2015,Compact Urban Development Policy,A10,2016-2035,Claude specific about agricultural land; ChatGPT mentions Chongming protection
Sustainable Land Management - Compact City,N/A,N/A,N/A,Compact City Development Strategy,A17,2001,Compact Urban Development Policy,A10,2016-2035,Claude and ChatGPT both describe multi-center compact development
Expansion of Public Long-Distance Transport,N/A,N/A,N/A,High-Speed Rail Connections,A19,Pre-2020,High-Speed Rail Connectivity,A04,2010s,Claude and ChatGPT both mention high-speed rail hub (Hongqiao Station)
Expansion of Public Long-Distance Transport - Maglev,N/A,N/A,N/A,Maglev Train System,A20,2004,N/A,N/A,N/A,Only Claude mentions the Maglev airport connection
